# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageFastCacheHits,1764920677526000000,1764920683978000000,15657
FilePageCache.totalPageLoadsUs,1764920677526000000,1764920683978000000,82056
StorageLockContext.competingThreads.avg,1764920677526000000,1764920683978000000,0.0
FilePageCache.capacityInBytes,1764920677526000000,1764920683978000000,524288000
FilePageCache.pageLoads,1764920677526000000,1764920683978000000,229
FilePageCache.maxCacheSizeInBytes,1764920677526000000,1764920683978000000,244334592
FilePageCache.maxRegisteredFiles,1764920677526000000,1764920683978000000,834
DirectByteBufferAllocator.misses,1764920677526000000,1764920683978000000,226
FilePageCache.totalPageDisposalsUs,1764920677526000000,1764920683978000000,286
FilePageCache.disposedBuffers,1764920677526000000,1764920683978000000,229
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1764920677526000000,1764920683978000000,52445184
FilePageCache.pageHits,1764920677526000000,1764920683978000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1764920677526000000,1764920683978000000,0
StorageLockContext.competingThreads.90P,1764920677526000000,1764920683978000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1764920677526000000,1764920683978000000,52445184
DirectByteBufferAllocator.reclaimed,1764920677526000000,1764920683978000000,46
DirectByteBufferAllocator.disposed,1764920677526000000,1764920683978000000,183
StorageLockContext.competingThreads.max,1764920677526000000,1764920683978000000,0
FilePageCache.uncachedFileAccess,1764920677526000000,1764920683978000000,361
DirectByteBufferAllocator.hits,1764920677526000000,1764920683978000000,3
NonBlockingReadAction.failedExecutionTimeUs,1764920677526000000,1764920683978000000,0
NonBlockingReadAction.failedExecutionsCount,1764920677526000000,1764920683978000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1764920677526000000,1764920683978000000,186432
NonBlockingReadAction.finalizedExecutionsCount,1764920677526000000,1764920683978000000,15
AWTEventQueue.dispatchTimeTotalNS,1764920677526000000,1764920683978000000,5329871411
workspaceModel.save.cache.to.file.ms,1764920677526000000,1764920683978000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1764920677526000000,1764920683978000000,0
workspaceModel.load.cache.from.file.ms,1764920677526000000,1764920683978000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1764920677526000000,1764920683978000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1764920677526000000,1764920683978000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.entities.ms,1764920677526000000,1764920683978000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1764920677526000000,1764920683978000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1764920677526000000,1764920683978000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1764920677526000000,1764920683978000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1764920677526000000,1764920683978000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1764920677526000000,1764920683978000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1764920677526000000,1764920683978000000,0
FileNameCache.fastMisses,1764920677526000000,1764920683978000000,12
FileNameCache.totalMisses,1764920677526000000,1764920683978000000,12
FileNameCache.queries,1764920677526000000,1764920683978000000,246
workspaceModel.collect.changes.ms,1764920677526000000,1764920683978000000,0
workspaceModel.updates.precise.ms,1764920677526000000,1764920683978000000,0
workspaceModel.updates.ms,1764920677526000000,1764920683978000000,0
workspaceModel.init.bridges.ms,1764920677526000000,1764920683978000000,0
workspaceModel.update.unloaded.entities.ms,1764920677526000000,1764920683978000000,0
workspaceModel.pre.handlers.ms,1764920677526000000,1764920683978000000,0
workspaceModel.loading.from.cache.ms,1764920677526000000,1764920683978000000,8
workspaceModel.loading.total.ms,1764920677526000000,1764920683978000000,14
workspaceModel.check.recursive.update.ms,1764920677526000000,1764920683978000000,0
workspaceModel.replace.project.model.ms,1764920677526000000,1764920683978000000,0
workspaceModel.initializing.ms,1764920677526000000,1764920683978000000,0
workspaceModel.to.snapshot.ms,1764920677526000000,1764920683978000000,0
workspaceModel.updates.count,1764920677526000000,1764920683978000000,0
